Comment,Designator,Footprint,Pins,Quantity
0.1UF 0805 精度20%,"C1,C2,C11",c-0805,2,3
0.1UF 0805,C5,c-0805,2,1
22PF 0805 精度5%,"C6,C7",c-0805,2,2
10UF 0805,C12,c-0805,2,1
HEARTLED 0805 贴片LED,LED1,c-0805,2,1
POWER 0805 贴片LED,LED2,c-0805,2,1
LM1117 SOT-223,L1,SOT-223,4,1
10K 0805 精度5%,"R1,R2,R8",c-0805,2,3
1K 0805 精度5%,"R6,R7",c-0805,2,2
MPU6050 直插8pin,S1,CON8,8,1
STM32F103C8T6 LQFP48,U1,LQFP-48,48,1
BOOT0 直插2pin,U2,CON3,3,1
CON4 直插4pin,"U3,U24",CON4,4,2
SWD 直插4pin,U4,CON4,4,1
CON2 直插2pin,"U5,U7,U12,U17",CON2_R2_54,2,4
KEY 直插3pin,"U6,U11,U14,U20,U23",CON3,3,5
MOTOR-A 直插2pin,U8,CON2_R2_54,2,1
CON5 直插5pin,"U9,U10,U15,U16",tp2_54_5,5,4
MOTOR-B 直插2pin,U13,CON2_R2_54,2,1
switch 直插3pin,U18,CON3,3,1
CON2 直插2pin,U19,3_6key,2,1
CON2 直插2pin,"U21,U22",P4_003_20,2,2
XTAL 8M直插晶振,X1,xtal,2,1
