Designator,Footprint,Mid X,Mid Y,Layer,Rotation
C1,C-0805,47.7936mm,4.953mm,T,0
C2,C-0805,49.216mm,15.4178mm,T,270
C5,C-0805,21.8348mm,12.9032mm,T,0
C6,C-0805,42.3072mm,13.4112mm,T,270
C7,C-0805,42.4088mm,6.5278mm,T,90
C11,C-0805,45.7616mm,17.145mm,T,270
C12,C-0805,20.4378mm,6.7056mm,T,90
L1,SOT-223,30.8772mm,12.2428mm,T,180
LED1,C-0805,46.3204mm,16.1798mm,B,180
LED2,C-0805,15.0784mm,10.9728mm,T,0
R1,C-0805,39.0306mm,19.8628mm,T,0
R2,C-0805,24.0446mm,20.6502mm,T,90
R6,C-0805,46.3204mm,18.161mm,B,180
R7,C-0805,15.053mm,8.1534mm,T,0
R8,C-0805,38.929mm,23.3934mm,T,270
S1,CON8,41.7738mm,1.7018mm,T,90
U1,LQFP-48,54.296mm,10.414mm,T,0
U2,CON3,31.3852mm,23.622mm,T,90
U3,CON4,39.6402mm,16.51mm,T,0
U4,CON4,51.7052mm,23.622mm,T,90
U5,CON2_R2_54,18.3296mm,1.8796mm,T,90
U6,CON3,42.4342mm,20.7772mm,T,90
U7,CON2_R2_54,26.4322mm,5.2324mm,T,90
U8,CON2_R2_54,26.4322mm,20.1676mm,T,90
U9,TP2_54_5,16.6532mm,17.78mm,B,90
U10,TP2_54_5,54.4992mm,17.78mm,B,90
U11,CON3,8.1442mm,23.0632mm,T,270
U12,CON2_R2_54,33.0362mm,5.2324mm,T,90
U13,CON2_R2_54,33.0362mm,20.1676mm,T,90
U14,CON3,63.3892mm,23.3172mm,T,90
U15,TP2_54_5,54.4992mm,7.62mm,B,270
U16,TP2_54_5,16.6532mm,7.62mm,B,270
U17,CON2_R2_54,26.3814mm,1.778mm,T,90
U18,CON3,29.4294mm,16.0528mm,T,90
U19,3_6KEY,24.7304mm,24.0284mm,T,0
U20,CON3,43.1962mm,23.5712mm,T,90
U21,P4_003_20,5.3502mm,14.478mm,B,180
U22,P4_003_20,65.8022mm,14.478mm,T,0
U23,CON3,69.3328mm,5.6896mm,T,270
U24,CON4,69.5868mm,2.8194mm,T,270
X1,XTAL,45.9394mm,7.4422mm,T,90
