Designator,Footprint,Mid X,Mid Y,Layer,Rotation
C1,CON2_3MM,18.5127mm,25.4873mm,T,180
C3,CON2_3MM,8.4873mm,18.5127mm,T,0
C2,CON2_3MM,8.4873mm,25.5127mm,T,0
C4,CON2_3MM,18.5127mm,18.4873mm,T,180
L1,SO8,13.5508mm,10.1364mm,T,0
LED1,C-0805,11.5442mm,26.2654mm,T,0
LED2,C-0805,11.595mm,19.2804mm,T,0
R1,C-0805,11.6712mm,22.8872mm,T,180
R7,C-0805,11.6458mm,15.9022mm,T,180
R2,C-0805,15.3034mm,22.938mm,T,180
R5,C-0805,9.2074mm,4.904mm,T,180
R6,C-0805,9.2074mm,7.2408mm,T,0
R8,C-0805,15.5574mm,15.9276mm,T,0
R3,C-0805,15.3288mm,26.2908mm,T,0
R9,C-0805,15.532mm,19.2804mm,T,180
S1,CON4,13.5762mm,1.9576mm,T,90
